seq,vx,vy,vz,avg,ate,rte
2011_09_26/0014,115.683014,10.435912,0.051846,42.056923,117.632853,12.242436
2011_09_26/0039,15.401540,4.980930,0.038006,6.806825,73.328707,4.476758
2011_09_26/0035,1.800374,1.751020,0.001454,1.184283,7.079798,2.072598
2011_09_26/0018,0.876764,1.653377,0.005813,0.845318,7.566643,2.704263
2011_09_26/0106,49.129074,22.489647,0.021374,23.880033,50.537699,6.882611
2011_09_26/0029,14.487235,4.551425,0.041007,6.359889,76.457926,6.659778
2011_09_26/0022,10.157308,3.283434,0.046234,4.495658,48.193228,4.237392
2011_10_03/0027,1.111968,0.962948,0.010715,0.695210,40.083256,4.032497
